Name,Created,Created time,Image,Parent recipe,Rating,Uses
[DUPLICATE THIS],"February 28, 2023 9:35 PM","February 28, 2023 9:35 PM",,,No rating,
23-02-26: Rose-hip and Geranium with replenishing Argon oil,"February 22, 2023 10:42 PM","February 22, 2023 10:42 PM",Database%20of%20recipe%20variations%200c81384fd07149a6ae81d541becbd1a0/14F951F8-8227-4DD2-8495-66E96A2DAE8B.jpeg,Skin cream (Skin%20cream%205db693be26d447a9a1db5c006d5fd00f.md),No rating,"Conditioning, Face"
"22-02-14: Sesame, Apricot and Rose-hip intense moisture","February 28, 2023 9:17 PM","February 28, 2023 9:17 PM",Database%20of%20recipe%20variations%200c81384fd07149a6ae81d541becbd1a0/72C47BBF-D45B-49BC-8031-9E73357FC0D9.jpeg,Skin cream (Skin%20cream%205db693be26d447a9a1db5c006d5fd00f.md),⭐️⭐️⭐️⭐️,"Body, Conditioning, Face, Hands"
21-09-28: Enriching Rose-hip with soothing cocoa butter,"February 28, 2023 9:09 PM","February 28, 2023 9:09 PM",Database%20of%20recipe%20variations%200c81384fd07149a6ae81d541becbd1a0/7AD1DBE7-EF2D-4E9D-A083-60D84ED19792.jpeg,Skin cream (Skin%20cream%205db693be26d447a9a1db5c006d5fd00f.md),⭐️⭐️⭐️⭐️,"Body, Conditioning, Face, Hands"
21-10-07: Oct 2021 Skincream,"February 28, 2023 10:02 PM","February 28, 2023 10:02 PM",Database%20of%20recipe%20variations%200c81384fd07149a6ae81d541becbd1a0/1A99421C-0B92-43D3-B44F-12E4A7A2EAE9.jpeg,Skin cream (Skin%20cream%205db693be26d447a9a1db5c006d5fd00f.md),,
21 Jun 2021 Skin cream,"February 28, 2023 10:04 PM","February 28, 2023 10:04 PM",Database%20of%20recipe%20variations%200c81384fd07149a6ae81d541becbd1a0/9FED835A-CAB5-452C-AA0C-3439B9440105.jpeg,Skin cream (Skin%20cream%205db693be26d447a9a1db5c006d5fd00f.md),,
20-11-20: 20 Nov 2020 Skin cream,"February 28, 2023 10:03 PM","February 28, 2023 10:03 PM",Database%20of%20recipe%20variations%200c81384fd07149a6ae81d541becbd1a0/196AFC1B-E339-445B-994E-A8D1BBE2340A.jpeg,Skin cream (Skin%20cream%205db693be26d447a9a1db5c006d5fd00f.md),,
24-03-10: Lightweight deep moisture,"March 10, 2024 4:23 PM","March 10, 2024 4:23 PM",Database%20of%20recipe%20variations%200c81384fd07149a6ae81d541becbd1a0/72C47BBF-D45B-49BC-8031-9E73357FC0D9.jpeg,Skin cream (Skin%20cream%205db693be26d447a9a1db5c006d5fd00f.md),⭐️⭐️⭐️⭐️,"Body, Conditioning, Face, Hands"
25-02-XX: [TBD],"January 24, 2025 10:25 PM","January 24, 2025 10:25 PM",Database%20of%20recipe%20variations%200c81384fd07149a6ae81d541becbd1a0/72C47BBF-D45B-49BC-8031-9E73357FC0D9.jpeg,Skin cream (Skin%20cream%205db693be26d447a9a1db5c006d5fd00f.md),⭐️⭐️⭐️⭐️,"Body, Conditioning, Face, Hands"
Great cleaning with good suds (Feb 2023),"February 22, 2023 10:34 PM","February 22, 2023 10:34 PM",,Liquid soap (Liquid%20soap%2028be825b2a364b70a6f6c5d7b8c9cbee.md),⭐️⭐️⭐️⭐️,"Bathroom, Floors, Hands, Kitchen"
Feb 2024: Versatile clean,"February 23, 2024 10:11 AM","February 23, 2024 10:11 AM",,Liquid soap (Liquid%20soap%2028be825b2a364b70a6f6c5d7b8c9cbee.md),,
Idea for next time - [To be named],"January 28, 2024 10:25 PM","January 28, 2024 10:25 PM",,Liquid soap (Liquid%20soap%2028be825b2a364b70a6f6c5d7b8c9cbee.md),No rating,
Feb 2025: [To be named],"January 24, 2025 10:22 PM","January 24, 2025 10:22 PM",,Liquid soap (Liquid%20soap%2028be825b2a364b70a6f6c5d7b8c9cbee.md),,
Creamy and light,"February 28, 2023 10:22 PM","February 28, 2023 10:22 PM",,Hair pomade (Hair%20pomade%200dfeeb52976241f7a51a76bb81db38dd.md),⭐️⭐️⭐️,Hair
ChatGPT Idea,"January 24, 2025 10:49 PM","January 24, 2025 10:49 PM",,Hair pomade (Hair%20pomade%200dfeeb52976241f7a51a76bb81db38dd.md),,
